150,100,100,100
74,94,76
88,70,91
86,35,90
68,70,74
79,78,70
70,9,86
90,88,48
72,78,73
82,59,50
71,67,95
88,77,86
55,90,50
57,88,81
43,18,6
21,28,27
81,83,90
85,84,83
96,79,80
70,53,95
97,78,79
80,97,93
76,79,50
79,25,88
75,95,37
62,68,58
73,68,50
77,10,76
80,90,51
84,51,84
99,79,10
64,83,78
87,78,13
10,76,93
97,54,64
4,2,31
92,81,5
76,79,35
57,83,51
68,64,89
11,31,28
82,88,15
93,39,71
94,64,61
58,74,91
10,3,42
63,57,70
69,52,84
28,95,81
90,77,55
92,76,1
79,83,87
14,25,22
91,80,90
84,92,43
50,68,83
90,71,79
11,74,83
54,99,79
94,72,76
84,88,60
83,35,94
76,73,12
44,91,78
49,22,21
56,75,60
88,55,53
69,85,41
80,76,69
76,60,65
73,78,73
65,66,82
78,65,64
87,58,67
66,95,91
35,27,26
56,55,71
94,93,78
14,96,76
67,18,81
55,99,67
90,57,53
75,99,45
33,27,18
8,96,91
81,68,33
5,3,31
71,69,19
96,67,79
84,33,71
83,89,23
88,62,50
94,56,73
57,86,80
12,75,74
20,91,78
44,89,92
86,60,75
82,70,36
87,49,78
88,94,91
58,69,91
53,97,63
47,85,77
2,13,47
67,54,95
97,32,91
13,99,77
82,54,95
94,58,56
95,51,92
52,62,71
64,87,64
94,29,86
95,11,73
96,96,66
70,27,90
67,56,58
70,4,67
82,82,44
77,86,78
37,83,71
43,83,77
92,53,76
60,80,93
54,69,78
78,73,14
4,82,78
75,70,73
51,59,86
86,93,58
96,4,90
28,42,35
14,97,73
62,50,62
3,85,98
51,95,61
72,27,98
81,63,87
52,69,87
58,67,97
57,70,66
67,58,82
68,80,25
86,68,74
60,76,87
69,46,93
70,51,53
22,85,79
83,98,58
6,77,91
