100,40,40,40
27,22,5
13,22,18
9,1,26
12,11,29
26,22,23
9,8,16
8,23,27
34,36,15
14,18,3
10,33,27
28,31,24
32,8,30
35,6,30
2,38,34
32,19,34
35,35,19
32,15,30
3,13,30
3,14,10
39,36,4
15,33,2
18,17,7
26,4,31
20,8,15
23,1,12
19,32,28
13,31,24
23,26,22
32,26,4
37,1,34
24,39,39
26,25,2
21,34,18
33,13,28
4,15,6
27,30,32
34,4,32
9,6,1
29,35,1
5,25,30
32,34,12
5,29,3
21,7,27
5,5,19
15,18,6
31,22,25
36,24,24
19,26,39
17,33,26
17,27,27
2,34,26
29,39,10
30,33,14
9,33,29
30,19,38
6,34,39
11,18,9
11,10,18
4,39,29
27,19,25
11,24,30
32,27,15
16,9,12
39,7,37
19,32,38
21,24,24
30,24,5
31,18,32
3,29,11
20,9,30
28,4,28
25,18,13
24,11,20
33,15,15
18,35,37
30,17,37
29,12,4
3,18,25
11,30,26
34,2,30
29,12,34
26,6,23
33,23,32
36,38,13
37,37,33
26,8,14
19,2,11
29,1,17
38,36,4
34,33,23
24,34,37
10,2,3
23,10,3
16,23,34
29,25,19
7,4,16
18,13,6
1,37,39
12,30,30
15,31,19
