100,100,100,100
79,23,47
73,64,4
36,66,99
74,61,69
19,42,25
63,46,7
93,2,76
99,73,32
6,27,1
24,86,91
57,55,47
26,83,68
69,74,45
28,94,82
12,11,91
94,28,93
34,39,75
34,12,12
72,72,99
21,27,5
70,41,90
76,49,98
47,81,79
76,95,16
33,74,72
52,58,74
11,72,73
47,73,79
50,95,95
12,38,87
79,76,18
84,94,23
7,73,95
82,38,88
14,31,83
16,7,14
32,80,76
70,24,74
5,8,1
31,11,38
88,16,78
95,96,60
97,1,43
73,90,31
83,1,79
12,98,42
95,96,21
57,96,57
19,17,6
27,16,94
4,46,42
16,16,66
85,84,3
34,86,78
39,92,43
47,91,75
75,41,77
82,32,91
51,94,61
42,46,33
41,58,81
36,78,80
70,44,88
79,44,84
98,73,77
61,34,43
12,86,78
86,57,65
2,41,5
30,26,17
70,98,65
92,9,73
84,57,66
66,94,95
45,75,68
9,43,36
97,49,70
72,60,74
4,91,87
43,47,8
34,27,53
31,25,75
78,38,35
85,40,4
39,59,41
88,99,79
52,26,57
31,81,88
58,15,45
56,19,25
73,30,80
94,98,38
81,74,36
90,90,76
96,77,56
18,93,89
70,99,69
45,83,17
75,80,6
69,79,20
