23,0,0,0
31,0,0,11
50,0,26,0
11,34,0,0
92,0,0,34
34,0,31,11
48,0,0,53
67,35,23,0
95,0,27,34
78,41,0,23
29,0,64,0
18,0,12,53
71,73,0,0
84,0,39,34
79,41,0,41
35,0,0,82
94,0,64,23
37,35,20,23
38,0,25,63
64,0,87,0
36,41,20,32
54,39,58,0
65,77,0,23
70,0,87,10
56,36,41,22
2,38,0,62
22,75,33,0
26,0,26,80
41,41,24,41
21,0,63,46
39,0,57,56
63,38,24,55
77,0,87,30
0,39,82,0
4,39,64,21
75,75,31,23
60,39,76,21
61,77,0,46
93,39,88,19
96,38,0,85
89,0,57,73
49,41,26,77
51,35,59,55
33,77,0,56
90,77,13,46
52,0,89,53
5,75,26,46
82,80,64,0
40,35,85,53
9,75,23,68
17,71,85,52
97,33,53,82
30,0,89,71
80,41,26,88
73,71,97,52
72,34,85,74
98,72,0,85
19,78,64,10
55,80,84,0
15,78,64,25
76,80,79,10
81,82,47,46
10,68,55,82
83,78,64,35
12,78,79,20
3,76,20,85
13,70,81,82
91,77,94,20
14,76,35,85
86,82,47,56
24,0,88,91
32,78,84,35
