100,40,40,40
1,32,27
34,11,37
31,23,22
34,7,14
28,9,36
24,6,25
3,14,25
15,28,12
30,18,15
9,29,16
16,6,30
23,29,1
30,23,30
38,38,11
25,37,29
27,20,2
17,36,33
24,37,35
34,4,19
25,30,12
30,25,17
1,11,3
16,19,14
22,4,3
30,31,5
6,3,4
19,7,18
13,8,12
23,19,15
23,34,33
39,38,10
16,36,39
31,30,24
21,24,15
15,20,9
7,11,10
28,34,7
13,19,33
15,19,26
30,10,26
15,1,4
32,34,10
33,14,34
36,7,29
33,1,27
38,27,20
31,8,27
2,21,1
8,11,28
5,8,1
16,32,37
29,6,6
11,15,15
6,3,5
21,17,10
13,9,8
30,2,33
2,21,1
30,39,4
26,10,34
12,33,13
8,13,3
34,14,17
37,37,31
4,17,16
31,13,29
14,12,1
32,34,6
38,17,31
6,33,9
35,6,29
32,9,16
19,19,31
27,39,5
16,6,12
32,14,39
10,17,10
6,14,6
35,35,16
37,28,11
2,31,26
30,15,2
1,1,6
10,27,8
38,19,32
23,15,9
19,17,19
13,33,19
1,31,38
29,5,39
25,26,15
13,24,28
13,2,7
27,31,12
25,32,39
12,13,3
15,37,38
33,24,11
22,3,15
15,17,9
