100,110,110,100
41,27,19
34,21,20
39,23,23
20,15,15
39,12,29
34,21,20
38,12,29
39,12,29
41,27,19
35,32,17
38,26,16
39,23,23
20,15,15
38,26,16
34,16,11
27,13,10
38,22,33
39,12,29
33,13,22
20,15,15
39,23,23
28,20,10
33,31,23
34,26,11
25,21,9
35,32,17
41,27,19
36,35,22
39,23,23
39,23,23
34,21,20
33,31,23
27,13,10
33,13,22
35,33,23
38,26,16
25,21,9
25,21,9
35,32,17
35,32,17
36,24,21
34,16,11
35,33,23
41,27,19
39,12,29
39,23,23
39,12,29
41,27,19
38,12,29
34,26,11
34,26,11
47,26,27
30,20,18
38,22,33
36,24,21
25,21,9
38,22,33
33,13,22
38,22,33
36,35,22
39,12,29
27,13,10
35,33,23
36,35,22
27,13,10
33,31,23
38,12,29
36,35,22
47,26,27
41,27,19
34,21,20
35,33,23
36,24,21
38,12,29
33,31,23
35,33,23
28,20,10
39,23,23
30,20,18
36,24,21
35,20,11
27,13,10
28,20,10
30,20,18
36,24,21
41,27,19
28,20,10
35,33,23
47,26,27
33,31,23
33,13,22
20,15,15
41,27,19
38,22,33
39,23,23
38,12,29
34,26,11
35,32,17
35,20,11
38,26,16
