36,24,21,0,0,0
39,12,29,0,24,0
35,32,17,0,36,0
36,24,21,36,0,0
38,22,33,39,26,0
41,27,19,0,68,0
38,26,16,72,0,0
34,21,20,41,48,0
27,13,10,0,95,0
33,31,23,77,26,0
39,23,23,41,69,0
39,12,29,38,95,0
20,15,15,80,57,0
28,20,10,80,72,0
33,13,22,77,92,0
27,13,10,80,77,10
28,20,10,80,57,15
20,15,15,88,0,16
38,26,16,0,36,17
38,22,33,0,62,19
38,26,16,0,84,19
27,13,10,38,48,20
39,23,23,0,0,21
47,26,27,41,0,21
38,12,29,38,62,23
25,21,9,77,26,23
39,12,29,38,74,23
28,20,10,77,83,23
30,20,18,77,63,25
34,16,11,38,86,29
20,15,15,88,0,31
20,15,15,88,15,32
33,31,23,77,32,32
34,26,11,0,23,33
39,12,29,0,49,33
36,35,22,39,27,33
33,13,22,73,86,33
36,24,21,0,84,35
34,21,20,39,87,40
33,13,22,77,63,43
41,27,19,0,0,44
35,20,11,0,27,44
34,21,20,41,0,48
35,32,17,75,0,48
39,23,23,0,61,52
30,20,18,0,27,55
25,21,9,30,27,55
35,32,17,39,55,55
34,21,20,74,33,55
39,12,29,0,84,56
33,13,22,0,96,56
30,20,18,39,87,60
39,12,29,69,87,60
27,13,10,0,47,62
38,22,33,0,0,63
38,22,33,36,33,64
35,33,23,75,0,65
33,31,23,76,54,65
35,33,23,38,0,68
35,32,17,41,55,72
36,35,22,0,22,73
41,27,19,0,57,75
25,21,9,74,33,75
28,20,10,0,84,85
35,20,11,28,87,85
27,13,10,73,0,88
34,16,11,73,13,88
34,26,11,74,29,88
34,26,11,41,55,89
34,26,11,75,55,89
25,21,9,38,0,91
